"Code","Year.index","SHMI.index","SHMI.before","SHMI.after","Survey.observations.index","Survey.clinical.proportion.index","Survey.engagement.observations.index","Engagement.index","Survey.engagement.observations.before","Engagement.before","Survey.engagement.observations.after","Engagement.after"
"REF",2016,0.9674,1.0857,0.9696,2146,0.64,2148,3.82,1831,3.76333333333333,2837,3.86666666666667
"REM",2016,1.0701,1.0364,0.9882,1815,0.68,1923,3.80333333333333,1744,3.90666666666667,2231,3.81666666666667
"RF4",2016,1.0712,0.9598,1.0232,2323,0.72,2465,4.05,2035,4.01333333333333,2765,3.97666666666667
"RFF",2016,0.9915,0.9857,1.0147,1346,0.7,1461,3.78333333333333,1253,3.84666666666667,1297,3.81666666666667
"RFR",2016,1.1013,1.0501,1.0904,1558,0.65,1608,3.79333333333333,1618,3.79,1694,3.8
"RFS",2016,0.9868,0.9844,1.019,1200,0.61,1248,3.85666666666667,1993,3.93666666666667,2353,3.87
"RFW",NA,NA,NA,NA,NA,NA,NA,NA,890,4.02666666666667,NA,NA
"RGN",2016,1.0734,1.0455,1.0785,2026,0.68,2006,4.00666666666667,375,3.92666666666667,465,3.94666666666667
"RGP",2016,1.1517,1.0895,1.1768,528,0.71,526,3.92666666666667,398,4.02,521,3.89
"RGQ",2016,0.9962,0.9811,1.0501,555,0.74,553,3.93666666666667,401,3.99666666666667,1919,3.95333333333333
"RGR",2016,0.9037,0.8765,0.8853,615,0.71,615,4.03,456,3.97,585,3.98333333333333
"RGT",2016,0.8126,0.8363,0.8651,3539,0.66,3917,3.96333333333333,3176,3.95333333333333,4511,3.89
"RH8",2016,1.0518,0.9815,1.1132,2513,0.64,2666,3.93,337,3.93333333333333,3909,3.95
"RHM",2016,0.9589,0.9509,0.9452,3374,0.67,3601,3.98666666666667,3518,3.96,4673,3.98666666666667
"RHQ",2016,0.9846,0.9362,0.9536,6748,0.63,7039,3.84333333333333,412,3.81666666666667,7145,3.85666666666667
"RHU",2016,1.1002,1.0711,1.0571,3926,0.7,3905,3.98,4237,3.96333333333333,4165,3.91333333333333
"RHW",2016,1.0174,0.9457,1.0552,1708,0.67,1807,3.97666666666667,1937,3.97666666666667,2168,3.95333333333333
"RJ1",2016,0.7518,0.7424,0.7204,5058,0.65,5033,4.07666666666667,4378,4.03666666666667,5293,3.98666666666667
"RJ2",2016,1.0003,1.0129,0.9696,1712,0.71,1709,3.95333333333333,1478,3.94666666666667,1813,3.89666666666667
"RJ6",2016,0.9061,0.9858,0.8837,1060,0.7,1139,4.00666666666667,NA,NA,1347,3.98666666666667
"RJ7",2016,0.8446,0.9057,0.8173,3128,0.72,3359,3.87,2500,3.84333333333333,4211,3.88
"RJC",2016,1.071,1.0548,1.0103,651,0.71,651,4.11333333333333,436,4.02,586,3.97333333333333
"RJE",2016,1.0082,1.033,1.046,3370,0.64,3614,3.89,284,3.99,4184,3.87
"RJF",2016,0.9918,0.9653,0.982,1165,0.68,1289,3.95666666666667,387,4,1390,3.96
"RJL",2016,1.1218,1.0755,1.191,2457,0.67,2497,3.89333333333333,407,3.96,2014,3.79333333333333
"RJN",2016,1.1139,1.0279,1.071,1043,0.68,1046,4.00666666666667,1175,3.94,1024,3.93
"RJR",2016,1.0904,1.0527,1.067,1360,0.69,1351,3.89666666666667,1475,3.87,1466,3.86666666666667
"RJZ",2016,0.9292,0.8709,0.9287,3756,0.73,3762,3.89333333333333,244,3.96,4815,3.85333333333333
"RK5",2016,0.951,0.9909,1.0201,500,0.64,501,3.96666666666667,377,3.86333333333333,2450,3.92666666666667
"RK9",2016,1.0004,1.0047,1.0337,3017,0.66,3012,3.85,2665,3.82666666666667,3805,3.87333333333333
"RKB",2016,1.1047,1.0627,1.1197,2992,0.71,2988,3.95,328,4.03,3154,3.96666666666667
"RKE",2016,0.6907,0.6688,0.7437,414,0.71,430,3.88333333333333,1186,3.93,1648,3.95
"RL4",2016,1.1101,1.0395,1.2181,390,0.64,391,4,327,4.10666666666667,3229,3.93666666666667
"RLN",2016,1.0061,0.976,0.9634,1670,0.72,1672,3.93333333333333,252,3.95,1878,3.92
"RLQ",2016,1.1894,1.152,1.1668,1424,0.71,1418,3.98,380,4,1466,3.93333333333333
"RLT",2016,1.1012,1.1506,1.0863,828,0.67,838,3.90333333333333,710,3.85333333333333,905,3.91333333333333
"RM1",2016,1.0897,1.0401,1.0647,3172,0.68,3175,3.82666666666667,3214,3.84333333333333,3500,3.82666666666667
"RM2",2016,0.9551,0.9793,NA,435,0.69,433,3.90333333333333,302,3.82333333333333,2055,3.89333333333333
"RM3",2016,0.8992,0.8962,0.8902,3385,0.63,3629,3.88666666666667,355,3.9,3134,3.84333333333333
"RMC",2016,1.0432,1.045,1.0523,439,0.72,436,3.98333333333333,374,4.05,521,3.94666666666667
"RMP",2016,1.0926,1.1493,1.0789,471,0.64,474,4.03,321,4.03333333333333,489,4.00666666666667
"RN3",2016,0.9368,0.9466,0.9518,554,0.71,592,4.01,363,4.11,2419,3.94333333333333
"RN5",2016,1.039,1.1067,1.0289,2375,0.71,2568,3.96,2341,3.95333333333333,2494,3.96666666666667
"RN7",2016,1.0378,1.0695,1.0808,1449,0.72,1442,3.95333333333333,1429,4.01333333333333,1531,3.93333333333333
"RNA",2016,0.9859,0.998,1.0435,1858,0.73,1967,3.97,384,3.99333333333333,1674,3.92333333333333
"RNL",2016,0.9747,1.0121,0.9831,1696,0.65,1746,3.85,397,3.87,1864,3.82666666666667
"RNQ",2016,1.0403,1.0757,1.107,1142,0.61,1145,3.96666666666667,917,3.92,1380,3.88666666666667
"RNS",2016,0.9579,0.9842,0.979,1601,0.65,1600,3.98666666666667,1432,3.91333333333333,1826,3.93666666666667
"RNZ",2016,1.0207,1.1184,1.0798,1057,0.6,1152,4,990,4.06666666666667,1481,3.97666666666667
"RP5",2016,1.0363,1.0004,1.0462,2697,0.71,2877,3.85666666666667,2738,3.92333333333333,3069,3.81333333333333
"RPA",2016,1.0914,1.1274,1.0271,1970,0.66,1964,3.94,1467,3.90333333333333,1748,3.87333333333333
"RQ6",2016,1.0367,1.0229,1.0511,2701,0.61,2720,3.80666666666667,2370,3.83666666666667,3031,3.79
"RQ8",2016,1.0748,1.0814,1.0899,445,0.69,445,4.01,214,3.92666666666667,1507,3.87333333333333
"RQM",2016,0.8273,0.8777,0.8149,2392,0.8,2434,3.94,1494,3.91333333333333,1708,3.96
"RQQ",NA,NA,1.0828,NA,621,0.7,617,4.03,710,4.01,NA,NA
"RQW",2016,1.0551,0.9941,1.1213,1069,0.67,1177,3.90333333333333,265,3.92,1126,3.92
"RQX",2016,0.774,0.9421,0.8147,1722,0.76,1805,3.94,1174,3.95333333333333,1800,3.94333333333333
"RR1",2016,0.9662,0.9759,0.9624,3358,0.66,3533,3.90666666666667,2783,3.81333333333333,3982,3.88
